"vid","party_code","choice","left_right_party","left_right_resp","strong_aff_1","strong_aff_2","elect_viability","media_repr_count","media_repr_mean","main_inf_source_tv","main_inf_source_radio","main_inf_source_newspapers","main_inf_source_internet","v22","v24","v31.1","v31.2","v94.1","v94.2","v95.1","v95.2","v95.3","v95.4","v95.5","v95.6","v95.7","v95.9","v87","v90","v116","v117","v132"
52,"v81_1",0,5,6.12751677852349,0,0,59.58,13878,447.67741,1,0,0,0,2,2,2,3,2,2,7,3,2,4,2,7,4,7,3,2,3,2,3
52,"v81_2",0,5,6.12751677852349,0,0,52.515,12214,394,1,0,0,0,2,2,2,3,2,2,7,3,2,4,2,7,4,7,3,2,3,2,3
52,"v81_4",0,5,6.12751677852349,0,0,86.355,22138,714.129,1,0,0,0,2,2,2,3,2,2,7,3,2,4,2,7,4,7,3,2,3,2,3
52,"v81_5",0,5,6.12751677852349,0,0,15.435,7332,236.516,1,0,0,0,2,2,2,3,2,2,7,3,2,4,2,7,4,7,3,2,3,2,3
52,"v81_6",1,10,6.12751677852349,0,0,221.94,44857,1447,1,0,0,0,2,2,2,3,2,2,7,3,2,4,2,7,4,7,3,2,3,2,3
52,"v81_7",0,5,6.12751677852349,0,0,2.7,6908,222.8387,1,0,0,0,2,2,2,3,2,2,7,3,2,4,2,7,4,7,3,2,3,2,3
53,"v81_1",0,5,4,0,0,59.58,13878,447.67741,1,0,0,0,2,3,3,2,2,2,3,3,2,3,2,3,4,7,3,3,4,2,3
53,"v81_2",0,5,4,0,0,52.515,12214,394,1,0,0,0,2,3,3,2,2,2,3,3,2,3,2,3,4,7,3,3,4,2,3
53,"v81_4",0,2,4,0,0,86.355,22138,714.129,1,0,0,0,2,3,3,2,2,2,3,3,2,3,2,3,4,7,3,3,4,2,3
53,"v81_5",0,7,4,0,0,15.435,7332,236.516,1,0,0,0,2,3,3,2,2,2,3,3,2,3,2,3,4,7,3,3,4,2,3
53,"v81_6",1,4,4,0,0,221.94,44857,1447,1,0,0,0,2,3,3,2,2,2,3,3,2,3,2,3,4,7,3,3,4,2,3
53,"v81_7",0,7,4,0,0,2.7,6908,222.8387,1,0,0,0,2,3,3,2,2,2,3,3,2,3,2,3,4,7,3,3,4,2,3
54,"v81_1",0,0,5,1,0,59.58,13878,447.67741,1,0,0,0,2,4,3,2,3,3,2,2,2,2,3,3,4,4,2,2,3,2,4
54,"v81_2",0,0,5,0,0,52.515,12214,394,1,0,0,0,2,4,3,2,3,3,2,2,2,2,3,3,4,4,2,2,3,2,4
54,"v81_4",1,0,5,0,0,86.355,22138,714.129,1,0,0,0,2,4,3,2,3,3,2,2,2,2,3,3,4,4,2,2,3,2,4
54,"v81_5",0,10,5,0,0,15.435,7332,236.516,1,0,0,0,2,4,3,2,3,3,2,2,2,2,3,3,4,4,2,2,3,2,4
54,"v81_6",0,10,5,0,0,221.94,44857,1447,1,0,0,0,2,4,3,2,3,3,2,2,2,2,3,3,4,4,2,2,3,2,4
54,"v81_7",0,10,5,0,0,2.7,6908,222.8387,1,0,0,0,2,4,3,2,3,3,2,2,2,2,3,3,4,4,2,2,3,2,4
55,"v81_1",0,0,6,0,0,59.58,13878,447.67741,1,0,0,0,3,3,2,2,2,4,3,7,2,2,7,4,4,7,3,7,3,2,3
55,"v81_2",0,5,6,0,0,52.515,12214,394,1,0,0,0,3,3,2,2,2,4,3,7,2,2,7,4,4,7,3,7,3,2,3
55,"v81_4",0,5,6,0,0,86.355,22138,714.129,1,0,0,0,3,3,2,2,2,4,3,7,2,2,7,4,4,7,3,7,3,2,3
55,"v81_5",0,0,6,0,0,15.435,7332,236.516,1,0,0,0,3,3,2,2,2,4,3,7,2,2,7,4,4,7,3,7,3,2,3
55,"v81_6",1,5,6,0,0,221.94,44857,1447,1,0,0,0,3,3,2,2,2,4,3,7,2,2,7,4,4,7,3,7,3,2,3
55,"v81_7",0,0,6,0,0,2.7,6908,222.8387,1,0,0,0,3,3,2,2,2,4,3,7,2,2,7,4,4,7,3,7,3,2,3
56,"v81_1",0,2,6,0,0,59.58,13878,447.67741,1,0,0,0,2,3,3,2,3,3,3,2,2,2,2,4,4,4,3,2,3,2,3
56,"v81_2",1,4,6,1,0,52.515,12214,394,1,0,0,0,2,3,3,2,3,3,3,2,2,2,2,4,4,4,3,2,3,2,3
56,"v81_4",0,2,6,0,0,86.355,22138,714.129,1,0,0,0,2,3,3,2,3,3,3,2,2,2,2,4,4,4,3,2,3,2,3
56,"v81_5",0,6,6,0,0,15.435,7332,236.516,1,0,0,0,2,3,3,2,3,3,3,2,2,2,2,4,4,4,3,2,3,2,3
56,"v81_6",0,10,6,0,0,221.94,44857,1447,1,0,0,0,2,3,3,2,3,3,3,2,2,2,2,4,4,4,3,2,3,2,3
56,"v81_7",0,8,6,0,0,2.7,6908,222.8387,1,0,0,0,2,3,3,2,3,3,3,2,2,2,2,4,4,4,3,2,3,2,3
57,"v81_1",0,3,6,0,0,59.58,13878,447.67741,1,0,0,0,2,3,2,2,3,3,3,2,2,2,2,7,4,4,3,7,3,2,3
57,"v81_2",0,3,6,0,0,52.515,12214,394,1,0,0,0,2,3,2,2,3,3,3,2,2,2,2,7,4,4,3,7,3,2,3
57,"v81_4",1,3,6,0,0,86.355,22138,714.129,1,0,0,0,2,3,2,2,3,3,3,2,2,2,2,7,4,4,3,7,3,2,3
57,"v81_5",0,7,6,0,0,15.435,7332,236.516,1,0,0,0,2,3,2,2,3,3,3,2,2,2,2,7,4,4,3,7,3,2,3
57,"v81_6",0,10,6,0,0,221.94,44857,1447,1,0,0,0,2,3,2,2,3,3,3,2,2,2,2,7,4,4,3,7,3,2,3
57,"v81_7",0,7,6,0,0,2.7,6908,222.8387,1,0,0,0,2,3,2,2,3,3,3,2,2,2,2,7,4,4,3,7,3,2,3
58,"v81_1",0,4,5,0,0,59.58,13878,447.67741,1,0,0,0,1,3,2,3,2,2,4,3,2,3,2,4,4,7,2,7,2,2,4
58,"v81_2",0,4,5,0,0,52.515,12214,394,1,0,0,0,1,3,2,3,2,2,4,3,2,3,2,4,4,7,2,7,2,2,4
58,"v81_4",0,4,5,0,0,86.355,22138,714.129,1,0,0,0,1,3,2,3,2,2,4,3,2,3,2,4,4,7,2,7,2,2,4
58,"v81_5",0,4,5,0,0,15.435,7332,236.516,1,0,0,0,1,3,2,3,2,2,4,3,2,3,2,4,4,7,2,7,2,2,4
58,"v81_6",1,10,5,0,0,221.94,44857,1447,1,0,0,0,1,3,2,3,2,2,4,3,2,3,2,4,4,7,2,7,2,2,4
58,"v81_7",0,4,5,0,0,2.7,6908,222.8387,1,0,0,0,1,3,2,3,2,2,4,3,2,3,2,4,4,7,2,7,2,2,4
