"vid","party_code","choice","left_right_party","left_right_resp","strong_aff_1","strong_aff_2","elect_viability","media_repr_count","media_repr_mean","main_inf_source_tv","main_inf_source_radio","main_inf_source_newspapers","main_inf_source_internet","v22","v24","v31.1","v31.2","v94.1","v94.2","v95.1","v95.2","v95.3","v95.4","v95.5","v95.6","v95.7","v95.9","v87","v90","v116","v117","v132"
49,"v81_6",1,9,7,0,0,221.94,44857,1447,1,0,0,0,2,2,2,2,2,3,2,7,2,3,1,3,4,4,2,3,3,2,3
49,"v81_7",0,7,7,0,0,2.7,6908,222.8387,1,0,0,0,2,2,2,2,2,3,2,7,2,3,1,3,4,4,2,3,3,2,3
50,"v81_1",0,3,5,0,0,59.58,13878,447.67741,1,0,0,0,3,3,7,2,4,2,7,2,2,2,7,4,4,7,2,4,3,2,3
50,"v81_2",0,5,5,0,0,52.515,12214,394,1,0,0,0,3,3,7,2,4,2,7,2,2,2,7,4,4,7,2,4,3,2,3
50,"v81_4",1,3,5,0,0,86.355,22138,714.129,1,0,0,0,3,3,7,2,4,2,7,2,2,2,7,4,4,7,2,4,3,2,3
50,"v81_5",0,6,5,0,0,15.435,7332,236.516,1,0,0,0,3,3,7,2,4,2,7,2,2,2,7,4,4,7,2,4,3,2,3
50,"v81_6",0,9,5,0,0,221.94,44857,1447,1,0,0,0,3,3,7,2,4,2,7,2,2,2,7,4,4,7,2,4,3,2,3
50,"v81_7",0,6,5,0,0,2.7,6908,222.8387,1,0,0,0,3,3,7,2,4,2,7,2,2,2,7,4,4,7,2,4,3,2,3
51,"v81_1",0,6,9,0,0,59.58,13878,447.67741,1,0,0,0,2,3,2,2,2,2,4,7,2,3,2,2,4,3,2,3,3,2,3
51,"v81_2",0,6,9,0,0,52.515,12214,394,1,0,0,0,2,3,2,2,2,2,4,7,2,3,2,2,4,3,2,3,3,2,3
51,"v81_4",0,6,9,0,0,86.355,22138,714.129,1,0,0,0,2,3,2,2,2,2,4,7,2,3,2,2,4,3,2,3,3,2,3
51,"v81_5",0,6,9,0,0,15.435,7332,236.516,1,0,0,0,2,3,2,2,2,2,4,7,2,3,2,2,4,3,2,3,3,2,3
51,"v81_6",1,9,9,0,0,221.94,44857,1447,1,0,0,0,2,3,2,2,2,2,4,7,2,3,2,2,4,3,2,3,3,2,3
51,"v81_7",0,6,9,0,0,2.7,6908,222.8387,1,0,0,0,2,3,2,2,2,2,4,7,2,3,2,2,4,3,2,3,3,2,3
